,t,y(t)
Row 1,0.0,0.7739667322292338
Row 2,0.034482758620689655,1.4779552752278353
Row 3,0.06896551724137931,0.7135253716625932
Row 4,0.10344827586206896,0.13841565663129662
Row 5,0.13793103448275862,1.5617530865569549
Row 6,0.1724137931034483,1.1524436630370483
Row 7,0.20689655172413793,0.8788035613253211
Row 8,0.24137931034482757,0.796597270774777
Row 9,0.27586206896551724,1.223070962033053
Row 10,0.3103448275862069,1.0396514656310285
Row 11,0.3448275862068966,1.133931252972302
Row 12,0.3793103448275862,0.7194619332655088
Row 13,0.41379310344827586,0.5521101774178863
Row 14,0.4482758620689655,0.8536762045111822
Row 15,0.48275862068965514,1.0360668560400532
Row 16,0.5172413793103449,0.9551091633864695
Row 17,0.5517241379310345,0.794595943403289
Row 18,0.5862068965517241,0.9262071869164479
Row 19,0.6206896551724138,0.5430629080007378
Row 20,0.6551724137931034,0.6974465566537195
Row 21,0.6896551724137931,0.6041027150899031
Row 22,0.7241379310344828,0.8087482764524185
Row 23,0.7586206896551724,0.3239432674717353
Row 24,0.7931034482758621,0.8951218160450426
Row 25,0.8275862068965517,0.5022233719291949
Row 26,0.8620689655172413,0.3196143437179185
Row 27,0.896551724137931,0.5838520792803445
Row 28,0.9310344827586207,0.311728840120054
Row 29,0.9655172413793103,0.4155534923822519
Row 30,1.0,-0.08655215343174416
