,t,y(t)
Row 1,1.0,-0.09468795807853314
Row 2,1.3103448275862069,-0.08601648147239103
Row 3,1.6206896551724137,0.023196462408010557
Row 4,1.9310344827586208,-0.04838714686825285
Row 5,2.2413793103448274,0.026396428018873833
Row 6,2.5517241379310347,0.099628935711156
Row 7,2.8620689655172415,0.130548783292326
Row 8,3.1724137931034484,0.4203823771535664
Row 9,3.4827586206896552,0.4819345986172687
Row 10,3.793103448275862,0.6216666948668882
Row 11,4.103448275862069,0.6203610689984521
Row 12,4.413793103448276,0.8875143816270972
Row 13,4.724137931034483,1.2774409105887412
Row 14,5.0344827586206895,1.2253902043075318
Row 15,5.344827586206897,1.4061881766265654
Row 16,5.655172413793103,1.8741778386735215
Row 17,5.9655172413793105,2.1210945699755985
Row 18,6.275862068965518,2.2983991181017744
Row 19,6.586206896551724,2.855667486246166
Row 20,6.8965517241379315,3.40056756024638
Row 21,7.206896551724138,3.8734547239968267
Row 22,7.517241379310345,4.186185797414334
Row 23,7.827586206896552,4.76349847478794
Row 24,8.137931034482758,5.4015554661828515
Row 25,8.448275862068966,5.9453411666468154
Row 26,8.758620689655173,6.787780688605258
Row 27,9.068965517241379,7.491762659114679
Row 28,9.379310344827587,8.424901425326093
Row 29,9.689655172413794,8.976025684529366
Row 30,10.0,10.000696279186897
