,t,y(t)
Row 1,1.0,-0.026090581515285344
Row 2,1.3103448275862069,0.23238068628763522
Row 3,1.6206896551724137,0.21105982751744634
Row 4,1.9310344827586208,0.11997798698973787
Row 5,2.2413793103448274,0.14993003850467881
Row 6,2.5517241379310347,0.19616638347218804
Row 7,2.8620689655172415,0.4875857509708601
Row 8,3.1724137931034484,0.1370834629804528
Row 9,3.4827586206896552,0.32498205048718964
Row 10,3.793103448275862,0.6144439273740692
Row 11,4.103448275862069,0.3394875667264165
Row 12,4.413793103448276,0.3185185186524498
Row 13,4.724137931034483,0.4128415090111806
Row 14,5.0344827586206895,0.3849319574726328
Row 15,5.344827586206897,0.531686075930336
Row 16,5.655172413793103,0.39973298904128807
Row 17,5.9655172413793105,0.5000137080660378
Row 18,6.275862068965518,0.6827927781046104
Row 19,6.586206896551724,0.7796759121641283
Row 20,6.8965517241379315,0.8199263072982178
Row 21,7.206896551724138,0.7947914929537787
Row 22,7.517241379310345,0.5909768508321768
Row 23,7.827586206896552,0.9518407439979754
Row 24,8.137931034482758,0.8004983353949685
Row 25,8.448275862068966,0.78114606015356
Row 26,8.758620689655173,0.8242320585159023
Row 27,9.068965517241379,0.9215249714212937
Row 28,9.379310344827587,1.0101495673356606
Row 29,9.689655172413794,0.9606296992899424
Row 30,10.0,1.0004342469147338
