,t,y(t)
Row 1,0.0,0.932830741699524
Row 2,0.034482758620689655,1.091569864047356
Row 3,0.06896551724137931,1.016447261483945
Row 4,0.10344827586206896,1.0971220536701791
Row 5,0.13793103448275862,0.9843971416867987
Row 6,0.1724137931034483,0.9947802638875561
Row 7,0.20689655172413793,0.9522468257523791
Row 8,0.24137931034482757,0.8873416595614878
Row 9,0.27586206896551724,0.985628284151407
Row 10,0.3103448275862069,0.910097845898624
Row 11,0.3448275862068966,0.7581617887798519
Row 12,0.3793103448275862,0.9087976039895932
Row 13,0.41379310344827586,0.8088950877958251
Row 14,0.4482758620689655,0.8475794736340356
Row 15,0.48275862068965514,0.7404389699746917
Row 16,0.5172413793103449,0.7843054854011734
Row 17,0.5517241379310345,0.6326169335205096
Row 18,0.5862068965517241,0.6381576020251354
Row 19,0.6206896551724138,0.55705267914996
Row 20,0.6551724137931034,0.5977082340950467
Row 21,0.6896551724137931,0.5107043520058334
Row 22,0.7241379310344828,0.4964633527809173
Row 23,0.7586206896551724,0.4308822164693043
Row 24,0.7931034482758621,0.2826515561283608
Row 25,0.8275862068965517,0.30612913575881634
Row 26,0.8620689655172413,0.19050606054553998
Row 27,0.896551724137931,0.1965583043174555
Row 28,0.9310344827586207,0.15890472933251767
Row 29,0.9655172413793103,0.12436371118587415
Row 30,1.0,-0.021491314898061158
